customer_unique_id,total
0a0a92112bd4c708ca5fde585afaa872,13664.08
46450c74a0d8c5ca9395da1daac6c120,9553.02
da122df9eeddfedc1dc1f5349a1a690c,7571.63
763c8b1c9c68a0229c42c9fc6f662b93,7274.88
dc4802a71eae9be1dd28f5d788ceb526,6929.31
459bef486812aa25204be022145caa62,6922.21
ff4159b92c40ebe40454e3e6a7c35ed6,6726.66
4007669dec559734d6f53e029e360987,6081.54
5d0a2980b292d049061542014e8960bf,4809.44
eebb5dda148d3893cdaf5b5ca3040ccb,4764.34
48e1ac109decbb87765a3eade6854098,4681.78
c8460e4251689ba205045f3ea17884a1,4655.91
edde2314c6c30e864a128ac95d6b2112,4513.32
a229eba70ec1c2abef51f04987deb7a5,4445.5
edf81e1f3070b9dac83ec83dacdbb9bc,4194.76
fa562ef24d41361e476e748681810e1e,4175.26
ca27f3dac28fb1063faddd424c9d95fa,4163.51
055ec572ac7f3c7bdd04a183830ebe59,4053.08
5e713be0853d8986528d7869a0811d2b,4042.74
58483a1c055dfb600f57c5b867174542,4034.44
